"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"1","RT @Jake_Vig: Human naked mole rat strikes again! Jason Chaffetz finally calls for investigation into White House leaks https://t.co/smvfrN…",6,FALSE,FALSE,"832348853672095744",NA,"<a href=""http://favstar.fm"" rel=""nofollow"">Favstar.FM</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",627,FALSE,"Kempston, Beds, England","50118140","Consistently inconsistent, happily unhappy, comfortably uncomfortable, sanely insane, completely incomplete http://favstar.fm/users/jngraphs/recent",FALSE,"Tue Jun 23 22:06:55 +0000 2009",99232,131639,88750,FALSE,NA,"John Novis","London","en",0,129411,"jngraphs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Eighty
  JaDineFor MYXAwards
  #KCAPinoyStar #NadineLustre",0,FALSE,FALSE,"832348853655310336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",1,FALSE,"Fiji","771275643661148160","Mother of two. Wife of a fantastic man! Amateur singer. Kava swiper. Stress ball. JaDine crazy!",FALSE,"Thu Sep 01 09:16:57 +0000 2016",5940,55,1389,FALSE,NA,"Andrea Matthias",NA,"en",NA,0,"fijipina1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","君に触れていいのは僕だけ",0,FALSE,FALSE,"832348853651202048",NA,"<a href=""https://twitter.com/SARU_yami_bot"" rel=""nofollow"">病みSARUbot</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",1,FALSE,"君の後ろ","1397010716","何か病んでしまったサルさんのbotです。 あなたを追っかけます。 フォローは手動です。プロフはこっち→【http://twpf.jp/SARU_yami_bot】 反応語句はちょいちょい更新してきます。",FALSE,"Thu May 02 11:54:11 +0000 2013",27377,9,0,FALSE,NA,"病みSARUbot",NA,"ja",NA,10,"SARU_yami_bot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","@AsliBinici @AytacYeni @tribunselcom nasıl koyduysa Persie acısı dinmemiş ������������",0,FALSE,FALSE,"832348853651251205","AsliBinici","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017","832348150539091969","355137575","tr",7,FALSE,"Kadir Has Üniversitesi","335242605","#UNIGFB | JOY TEAM | #Advertising",TRUE,"Thu Jul 14 11:24:33 +0000 2011",33305,1066,52605,FALSE,"https://twitter.com/khasunigfb","Semih Şimşek","Quito","tr",-18000,486,"semhsmsk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","67% of people say that lack of storage would affect their buying decision! #OrganizationIsKey",0,FALSE,FALSE,"832348853668024320",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",24,FALSE,"Iowa City, IA","629004954",NA,FALSE,"Sat Jul 07 02:32:23 +0000 2012",1780,290,6,FALSE,"http://www.communityenterprisellc.com","Community Enterprise","Central Time (US & Canada)","en",-21600,828,"brianskrueger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Se Gostou, Compartilhe! https://t.co/fk0FXdnQsp",0,FALSE,FALSE,"832348853663911936",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"pt",1,FALSE,"Rio de Janeiro","133138426","Sou um adorador de Cristo, meu principal OBJETIVO e exaltar o Nome de Jesus, e Ganhar Almas Para o Reino de Deus!",FALSE,"Thu Apr 15 03:21:48 +0000 2010",13256,625,0,FALSE,"http://claudioluizmusic.com.br","ClaudioLuizMusic","Brasilia","pt",-7200,414,"ClaudiolMusic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fb.me/1JoILqKSw","https://t.co/fk0FXdnQsp"
"7","These Are My Favorite Photos Of Beautiful Iceland  #mustsee https://t.co/skhPNFHpny",0,FALSE,FALSE,"832348853647060992",NA,"<a href=""http://mustsee.media"" rel=""nofollow"">mustseemedia</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",11,FALSE,"United States","804752655046348801","We research, bookmark, curate, and create interesting media content for your information and entertainment.",FALSE,"Fri Dec 02 18:22:39 +0000 2016",612,235,1018,FALSE,"http://MustSee.media","Must See Media","Eastern Time (US & Canada)","en",-18000,1017,"MustSeeMedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://mustsee.media/these-are-my-favorite-photos-of-beautiful-iceland/","https://t.co/skhPNFHpny"
"8","Holler is starting now. Get locked in here: https://t.co/9Zr5UuG8Aw",0,FALSE,FALSE,"832348853659717638",NA,"<a href=""https://airtime.pro"" rel=""nofollow"">Airtime Pro</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",6,FALSE,"Dublin City, Ireland","777936861616627712","digital radio station dedicated to providing a quality platform for the various communities striving to create a socially and culturally progressive city",FALSE,"Mon Sep 19 18:26:16 +0000 2016",2060,632,414,FALSE,"http://www.dublindigitalradio.com","Dublin Digital Radio","Pacific Time (US & Canada)","en",-28800,219,"DublinDigiRadio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://listen.dublindigitalradio.com/","https://t.co/9Zr5UuG8Aw"
"9","#CAS17 got a little more adventurous, courtesy of #Toyota: https://t.co/djMypbsN82 Not Yet Available",0,FALSE,FALSE,"832348853647073282",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",20,FALSE,"Duluth, GA","109021538","Atlanta Toyota is located in Duluth, GA!  Visit us or call our friendly staff today at 770-872-0087.",TRUE,"Wed Jan 27 18:38:49 +0000 2010",1903,757,15,FALSE,"http://www.atlantatoyota.com","Atlanta Toyota","Eastern Time (US & Canada)","en",-18000,986,"1atlantatoyota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://cnet.co/2k87KOv","https://t.co/djMypbsN82"
"10","RT @2dg9a7e43h65: この副業がやばいらしいよｗ

→https://t.co/n0mDSys2Cn

めっちゃ簡単で1日で1万とか稼げるらし！ｗ https://t.co/GbQcFuGCjt",3,FALSE,FALSE,"832348853663911937",NA,"<a href=""https://twitter.com/Fger0002"" rel=""nofollow"">0002</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",3,FALSE,NA,"3962849777","@kamizi0u0 
 
✨【☪sm 2-6】【swiftie❤︎】✨✨",FALSE,"Thu Oct 15 06:38:14 +0000 2015",23212,1140,0,FALSE,NA,"なかたかね",NA,"ja",NA,2128,"xorfhai92stz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://knm16.click/a/tyBOV","https://t.co/n0mDSys2Cn"
"11","洗たくものがどんどんオラをわたして　へやの中で母ちゃんがはずれていくの？　しんのすけ",0,FALSE,FALSE,"832348853642735616",NA,"<a href=""https://twitter.com/katomilliyh"" rel=""nofollow"">２０１７２０１７テストテスト</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",0,FALSE,NA,"714805448457592833",NA,FALSE,"Tue Mar 29 13:24:34 +0000 2016",1985,812,0,FALSE,NA,"クレヨンしんちゃんに聞け",NA,"ja",NA,961,"kureyonshinchin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","@CNCOmusic quee",0,FALSE,FALSE,"832348853655437312","CNCOmusic","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017","832348797623738368","4440347241","en",0,FALSE,NA,"777300728750678016","CNCO������ Todo es perfecto cuando te siento tan cerca aunque estés tan lejos @christophervele ������ Que poLqueria callate������������#TeamAngels",FALSE,"Sun Sep 18 00:18:30 +0000 2016",4385,158,29,FALSE,NA,"Vale������",NA,"es",NA,107,"vaalevelez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Protect your self from both #incoming and #outgoing #email for best #protection and reputation online. https://t.co/Z9XLkAPfwx",0,FALSE,FALSE,"832348853668024321",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",148,FALSE,"Chicago, IL","773909740300693505","Integrated IT for productive business teams. #Chicago. Contact us today at 312.585.6877 or 877.466.7021.
#smallbiz #computers #network #security",FALSE,"Thu Sep 08 15:43:55 +0000 2016",1640,704,363,FALSE,"http://bit.ly/2cXVbTb","FixKar Chicago",NA,"en",NA,2454,"fixkar_chicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://buff.ly/2l5CRwr","https://t.co/Z9XLkAPfwx"
"14","¡Más detectives se unen a esta espectacular comedia!

Tu cita con la investigación de 'Con los Pelos de Punta' es... https://t.co/hl87xiMxsq",0,FALSE,FALSE,"832348853647048704",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",3,FALSE,"San Pedro Sula, Honduras","159602163","La temporada teatral 2017 comienza con la comedia 'Con los Pelos de Punta'. ¡Tú decides el final de cada noche!",TRUE,"Fri Jun 25 21:06:17 +0000 2010",1284,268,17,FALSE,"http://www.facebook.com/CirculoTeatralSampedrano","Círculo Teatral SPS","Central Time (US & Canada)","en",-21600,22,"CTS_Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fb.me/4RPj9CoT8","https://t.co/hl87xiMxsq"
